# All channels scraped so far
amazon_ranking,channel_name,apk_id
0,The CW,com.cw.tv.android
1,FIRE TV,com.onemainstream.nbcunivers.android
2,FOX NOW,com.fox.now
3,CBS,com.cbs.ott
4,Tubi TV,com.tubitv.ott
5,Pluto TV,tv.pluto.android
6,Tube Videos,com.kyy.tubevideos
7,Lifetime,com.aetn.lifetime.watch
8,ABC,com.disney.datg.videoplatforms.android.amazon.kindle.abc
9,STARZ,com.starz.starzplay.firetv
10,PlayStation Vue,com.snei.vue.firetv
11,HBO GO,com.HBO
12,HISTORY,com.aetn.history.watch
13,TNT,com.turner.tnt.android.networkapp
14,AMC,com.amctve.amcfiretv
15,HGTV,tv.accedo.hgtv
16,Philo,com.philo.philo
17,Mobile Tube,com.kyy.mobilevideosforyoutube
18,Boomerang,com.dramafever.boom_hybrid
19,Showtime Anytime,com.showtime.showtimeanytime
20,HBO NOW,com.hbo.hbonow
21,AE,com.aetn.aetv.watch
22,Food Network,tv.accedo.foodnetwork
23,DisneyNOW,com.disney.datg.videoplatforms.android.amazon.kindle.watchdc
24,SHOWTIME,com.showtime.standalone
25,USA,com.amazon.webapps.nbc.usa
26,Freeform,com.disney.datg.videoplatforms.android.amazon.kindle.abcf
27,Bravo,com.amazon.webapps.nbc.bravo
28,Hallmark,com.feeln.androidapp
29,TLC GO,com.discovery.firetv.tlcgo
30,YouTube,org.chromium.youtube_apk
31,DC Universe,com.wb.amzn.dcuniverse
32,Cartoon Network,com.turner.cnvideoapp
33,TBS,com.turner.tbs.android.networkapp
34,Hulu,com.hulu.plus
35,SYFY,com.amazon.webapps.nbc.syfy
36,FXNOW,com.fxnetworks.fxnow
37,OWN,com.own.firetv.owntve
38,Hallmark Channel,com.hallmarkchannel.tv
39,MTV,com.mtvn.mtvPrimeAndroid
40,Comedy Central,com.vmn.android.comedycentral
41,Popcornflix,tv.clasp.firetv
42,VH1,com.mtvn.vh1android
43,ID GO,com.discovery.firetv.idsgo
44,Twitch,tv.twitch.android.viewer
45,Plex,com.plexapp.android
46,BigstarMovies,com.bigstar.movie
47,Movies Anywhere,com.moviesanywhere.ama
48,Discovery GO,com.discovery.firetv.dscgo
49,Nick,com.nickonline.android.nickapp
50,Travel Channel,tv.accedo.travelchannel
51,Player,com.tube8
52,DIY Network,tv.accedo.diy
53,BBC America,com.bbca.firetv
54,PBS,com.pbs.video
55,BET NOW,com.bet.shows
56,Sundance TV,com.sundancetv.firetv
57,DIRECTV NOW,com.att.tv
58,Cooking Channel,tv.accedo.cookingchannel
59,adult swim,com.adultswim.firetv
60,WE tv,com.wetv.firetv
61,Nat Geo TV,com.natgeo.tv
62,E,com.amazon.webapps.nbc.e
63,HD Video For YouTube,com.kyy.desktoptube
64,Kanopy,com.kanopy.tvapp
65,ATT WatchTV,com.att.tv.watchtv
66,BlackWorldCinema,blackcinema.bigstar.tv
67,Sundance Now,com.onemainstream.docclubtes.android
68,AirScreen,com.ionitech.airscreen
69,WWE,com.mlbam.wwe_asb_app
70,Sony Crackle Movies TV,com.gotv.crackle.handset
71,Dish Anywhere,com.sm.SlingGuide.Dish
72,VEMOX,tv.accedo.vemox.b2c
73,CW Seed,com.cwseed.tv.android
74,Science GO,com.discovery.firetv.scigo
75,Animal Planet,com.discovery.firetv.aplgo
76,Yahoo,com.amazon.rialto.cordova.webapp.webapp5fe0c357499c4d77919182e6455c0714
77,TubeFor Youtube,com.kyy.tube
78,truTV,com.turner.truTV
79,Viki,com.viki.kindle
80,FunimationNow,com.Funimation.FunimationNow.firetv
