amazon_ranking,channel_name,apk_id
0,nickjr,com.nick.android.nickjr.tv
1,watch videos,org.pbskids.video
2,iheartradio family,com.iheartradio.family.tv
3,kids first,com.amazon.android.kidsfirst
4,chuchu tv nursery rhymes,com.amazon.rialto.cordova.webapp.webappddccc2245c524d95bdeb7088fa5d7a1f
5,kids preschool nursery rhymes,com.amazon.android.kidspreschoolnurseryrhymes
6,popcornflix kids,net.screenmedia.popcornflix.kids.firetv
7,pok mon tv,com.pokemontv
8,ameba tv,com.amazon.rialto.cordova.webapp.webapp64b835f44e8749e9bb0d866de3845e05
9,pocoyo kids tv,com.pocoyotv.tablet.zinkia
10,fun with roblox by happykids tv,com.future.funwithroblox
11,happykids tv,com.future.HappyKids
12,animal pre k math,com.eggrollgames.animalmathprekfree
13,blippi,com.future.blippi
14,deep sea,com.fisherprice.smartcyclespongebobAmazon
15,stem,com.fisherprice.smartcycleblazeAmazon
16,animal math games free,com.eggrollgames.mathgamesfree
17,challenge,com.fisherprice.smartcyclehotwheelsAmazon
18,animal kindergarten math free,com.eggrollgames.animalmathkindergartenfree
19,hooplakidz,com.amazon.rialto.cordova.webapp.webapp01d8a0bc110843a0b930ec2e96ce6f06
20,hopster,tv.platomedia.hopster.amazon
21,nursery rhymes club,com.amazon.rialto.cordova.webapp.webappf8c7b7f5555c4ae6a1e0fd587b903836
22,animal first grade math games free,com.eggrollgames.animalmathgrade1free
23,kids camp,com.amazon.rialto.cordova.webapp.webapp3f7fc42a2525424e98fb6a394d79231d
24,blippi toys,com.future.blippitoys
25,musti and friends,com.future.mustiandfriends
26,juniortube,com.nehloo.juniortube
27,creativity,com.fisherprice.smartcyclebarbieAmazon
28,om nom stories,com.future.omnomstories
29,go to bed,com.oceanhouse_media.booklcgotobedfiretv_app
30,tech city,com.fisherprice.smartcycletechcityAmazon
31,baby genius,com.future.babygeniusAndroidTV
32,thnxcya,com.amazon.android.aveza.thnxcyaapp
33,talking tom and friends,com.future.talkingtomandfriends
34,nursery rhyme street,com.amazon.rialto.cordova.webapp.webapp36a7fae5f7224cc58838b07c6e6b633a
35,tms anime,com.future.tmsanime
36,happykids2,com.future.happykids2
37,gizzy gazza,com.amazon.android.aveza.gizzygazzaapp
38,haunted house,com.amazon.android.hauntedhouse
39,naiah and elli show,com.future.naiah
40,baby by happykids,com.future.babybyhappykids
41,jesus kids tv,com.amazon.rialto.webapp.Af49b7f5357ca1cbe9247e1e288ff9c3e58ea3680
42,l o l surprise,com.future.lolsurprise
43,lullabies by happykids tv,com.future.lullabiesbyhappykids
44,little baby bum,com.future.littlebabybum
