amazon_ranking,apk_name,apk_id,amazon_category,product_id,product_name,overlap_token_count,developer_name
0,babyfirst,com.amazon.rialto.cordova.webapp.webapp1d25b9c24ace4d98ad1f43e65345db35,education,B06XT9592R,BabyFirst,1,BabyFirst
2,ted,com.ted.android.tv,education,B00QJ8DQZ8,TED TV,1,TED Conferences
3,lds general conference,com.amazon.rialto.cordova.webapp.webappca79b1bc532647ccb0d32c16bf4d72d2,education,B00ZQQT5QI,LDS General Conference,3,Spriton Systems LLC
4,greatcourses,com.tgc.greatcoursesplus,education,B014RWTCDW,The Great Courses Plus,0,The Teaching Company
5,the bible project,com.thebibleproject.firetv,education,B07BZLSG3V,The Bible Project,3,The Bible Project
7,beginning sound vocabulary,air.com.dezol.beginningsound.vocabulary,education,B0141L3HA8,Beginning Sound Vocabulary,3,Dezol Inc.
8,quizzer8,com.demicapps.quizzer8,education,B078B8Y4SM,Quizzer8: Countries of the World,1,demic apps LLC
10,make ready videos,panteo.tv.com.tvdefault,education,B016EVP1RU,Panteao Make Ready Learning Center,2,Panteao Productions
11,pluralsight,com.pluralsight,education,B01G7FWKUE,Pluralsight,1,Pluralsight LLC
13,wow i never knew that,com.future.wowineverknewthat,education,B015P0UPJA,Wow  I Never Knew That,4,Future Today Inc
14,now you know,com.amazon.rialto.cordova.webapp.webapp57109345a1e24dab86c7fa011788b31d,education,B07D3D8D5Q,Now You Know - Educational TV,3,Unreel Entertainment llc
15,gizzy gazza,com.amazon.android.aveza.funtests,education,B07CHNSJHB,Fun Tests,0,Dhruv Consultancy Services
17,ieducation by fawesome tv,com.future.iEducation,education,B00IWJ03H6,iEducation by Fawesome.tv,4,Future Today Inc
18,itprotv,com.itprotv,education,B01E07TTFK,ITProTV,1,Odd Networks for ITProTV
19,coilbook english,com.amazon.android.aveza.coilen,education,B076NXSPWL,Coilbook-English,2,Dhruv Consultancy Services
21,eric the carguy,com.amazon.android.aveza.ericthecarguyapp,education,B074HBZG84,EricTheCarGuy,0,Dhruv Consultancy Services
22,ikono tv,org.ikonotv.smarttv,education,B00NEJS7ZO,ikono TV,2,M.E.N. Media Entertainment Networks GmbH
24,work from home channel tv,com.amazon.rialto.webapp.A13a577387ef63d11a6e57d0dd66f89684b2544e8,education,B07QDBXFMH,Work From Home Channel TV,5,Work From Home Channel TV
25,message of change,com.amazon.rialto.cordova.webapp.webapp70fa51b2b6f749eeaf0408af195bfd08,education,B00TFTV39O,Message of Change,3,Lightcast.com
27,diyguru,com.amazon.rialto.webapp.A67c1c5c14a583fb0f48e3e1bbdd79be33aa4cdab,education,B07FXWSM32,DIYguru,1,DIYguru
28,math level 1,com.fairplaylabs.playjam.FirstGrade_Math,education,B01MQK2UZF,PlayJam Learning Math Level 1,2,PlayJam Ltd
29,cvc word vocabulary,air.com.dezol.cvcword.vocabulary,education,B0149DL2D2,CVC Word Vocabulary,3,Dezol Inc.
31,ali huda,tv.vhx.alihuda,education,B077N5ZVZ5,Ali Huda,2,Ali Huda%2C Inc.
32,we bellydance tv,com.webellydance,education,B072399KL4,We Bellydance,2,TechniLingo
33,uctv university of california television,com.amazon.rialto.cordova.webapp.webapp8af14f2d947c45d8b7ac9cf55e23ae9c,education,B00URVJTAY,UCTV: University of California Television,5,UCTV
35,stream2,tv.accedo.apogee.stream2,education,B07GPZYXV3,Apogee Stream2 v4.0 for Amazon Fire TV,1,Apogee Telecom Inc
36,kids love math,com.lu.kidslovemath,education,B01BA80N8O,Kids Love Math,3,NukePrice
37,learntoprogram tv,com.amazon.rialto.cordova.webapp.webappe2983c25c8ad4ffc9befa1aff8f63802,education,B012YD2VK2,LearnToProgram TV,2,LearnToProgram Media%2C Inc.
38,musical minds online,com.musicalminds.video,education,B07NWY283B,Musical Minds Online,3,Centre for Musical Minds
39,kelbyone,com.kelbyone.tv,education,B07GDX51XC,KelbyOne,1,Kelby Media Group
40,html training,com.amazon.rialto.webapp.A9652d1cafb3bba72ca9360545422ad3230723288,education,B07QHKV7M4,HTML Training,2,Glen Rushing
41,blue ridge streaming from blue ridge pbs,com.amazon.rialto.cordova.webapp.webapp30765b6400f54a4b97f972e51d4b2c61,education,B07HFGNR4B,Blue Ridge Streaming from Blue Ridge PBS,5,Blue Channel Digital
42,pocket preschool,com.pocketpreschool.tv.fire,education,B07NSYWHWW,Pocket Preschool,2,SkyVibe
44,fine art tips,com.amazon.android.aveza.fineartapp,education,B075DDXL6N,Fine Art Tips,3,Dhruv Consultancy Services
45,uwtv,com.amazon.rialto.cordova.webapp.webappf5ff8df1376645919c5b087a89ac5b7a,education,B00USJD3UC,UWTV,1,UWTV
46,noworriesclub,net.ethervision.noworriesclub,education,B07CJXXMBN,Downunder Horsemanship,0,Downunder Horsemanship
47,cyberspace,com.amazon.cyberspace,education,B07MVNK4R9,Cyberspace,1,Cynogage
48,world video bible school wvbs,com.amazon.rialto.webapp.A89f8b3dceb9b11feb38e556207ccb44b519ff720,education,B07QR1HWJG,World Video Bible School (WVBS),5,World Video Bible School %28WVBS%29
49,babyfirst auf deutsch,com.amazon.rialto.cordova.webapp.webappf91dcc625224474ba2c9df5b4ca2db12,education,B075CL3FR4,BabyFirst auf Deutsch,3,BabyFirst
51,familiar,com.amazon.rialto.webapp.A02bd2ddd40d98a4435464e3f128cd0d9d3d58648,education,B07Q1YGSQR,Familiar,1,Dave Warren
52,bumblebee kids,com.rhetor.bbbandroidplayer,education,B07CW7WN2L,BumbleBee Kids,2,BumbleBee Kids
53,mike4tech web dev support,com.amazon.rialto.webapp.Abc5f98c6b4d95dcb34858faad5da013a833d631a,education,B07QT92M3Z,Mike4Tech Web Dev Support,4,Mike4Tech.com
54,tech steve,com.amazon.rialto.webapp.A6c42ac9fc6bfeb7e3457354ee0592d3d1edc08d0,education,B07KVSJLGV,Tech Steve,2,SCB Media
55,prodigies,com.prodigies,education,B07G2VVCNN,Prodigies Music Lessons,1,Prodigies
59,cs50,com.amazon.rialto.cordova.webapp.webappebd404c46dd54bf5882c4e7c1f9ca6b8,education,B01A7U8VM6,CS50,1,CS50
60,animals,com.ikohtopa.animals,education,B00LW8OL4U,Animals Mini Quize,1,iKOHTOPA LTD
61,startalk all access,com.amazon.rialto.cordova.webapp.webappb0661f2862424c928d2f85885bb1f1e9,education,B01LZ7HVHN,StarTalk All-Access,3,Zype
62,uchallenge me,me.uchallenge.michaelroebuck.uchallengeme,education,B074DCVRQK,U-Challenge.ME,1,Cool Coo-Boo%2C Inc.
63,ending sound vocabulary,air.com.dezol.endingsound.vocabulary,education,B0145SL1QE,Ending Sound Vocabulary,3,Dezol Inc.
64,hypnosis music and audio hypnotherapy sessions,com.amazon.rialto.webapp.Ada051f690199fd09c3e31ae377f46082775b6855,education,B07KS2N38N,Hypnosis Music And Audio Hypnotherapy Sessions,6,Key Guy Inventions
65,english club tv plus,tv.englishclub.plus,education,B07G9FT4BT,English Club TV Plus,4,Stormcast Cinema
66,mathispower4u,com.future.Mathispower4uAndroidTV,education,B073C834NT,Mathispower4u,1,Future Today Inc
67,one4kids tv,com.one4kids,education,B07HFJ5686,One4kids TV,2,One4Kids
68,hooplakidz plus,com.hooplakidzplus,education,B07QBDF2WV,HooplaKidz Plus,2,YoBoHo New Media Pvt. Ltd.
0,ifood tv,com.future.ifoodtvAndroidTV,food,B00IVDON8S,iFood.tv,2,Future Today Inc
1,baking by ifood tv,com.future.Baking,food,B00NMD0WB4,Baking By iFood.tv,4,Future Today Inc
2,simply vegetarian,com.recipe.ifoodtvvegetarian,food,B00G245JOA,Simply Vegetarian,2,Future Today Inc
3,bon app tit,com.maz,food,B07NPVF949,Bon Appétit,3,Cond%C3%A9 Nast Entertainment
5,the cooking channel,com.amazon.rialto.cordova.webapp.webapp5c618a8e571247ffae0ff106b3ad0a47,food,B00ZRXIV24,The Cooking Channel,3,Lightcast.com
6,foodtube,com.wns.jo.foodtube,food,B01MQTG19V,Jamie Oliver&#39;s Food Tube,0,jamie oliver ltd
7,mexican recipes by fawesome tv,com.recipe.ifoodtvmexican,food,B00G23Y68G,Mexican Food,1,Future Today Inc
8,low carb 360,com.future.lowcarb360,food,B00YDANCSK,Low Carb 360,3,Future Today Inc
9,bestcooks,com.future.BestCooks,food,B00GJKMV9I,BestCooks,1,Future Today Inc
10,drinks,com.recipe.ifoodtvdrinks,food,B00G441LEK,Drinks,1,Future Today Inc
11,italian recipes by fawesome tv,com.recipe.ifoodtvitalian,food,B00G23M1FQ,Italian Recipes by fawesome.tv,5,Future Today Inc
12,chinese recipes by fawesome tv,com.recipe.ifoodtvchinese,food,B00G1YIN5S,Chinese Recipes by Fawesome.tv,5,Future Today Inc
13,grilling and smoking,com.future.grillingandsmoking,food,B00XWUCR9C,Grilling and Smoking,3,Future Today Inc
15,indian recipes by fawesome tv,com.recipe.ifoodtvindian,food,B00G23GRPQ,Indian Recipes by Fawesome.tv,5,Future Today Inc
16,cake recipes by ifood tv,com.future.cakeRecipes,food,B00FQG2FY2,Cake Recipes By iFood.tv,5,Future Today Inc
